Velocidad de entrada;Velocidad medida por el motor;Velocidad giroscopio
65;66.60000000000001;55.82
65;66.60000000000001;56.56
65;63.93600000000001;55.47
65;66.60000000000001;58.67
65;66.60000000000001;61.23
65;63.93600000000001;53.31
65;63.93600000000001;60.73
65;66.60000000000001;54.93
65;63.93600000000001;58.55
65;63.93600000000001;53.11
55;55.944;53.58
55;53.28;48.86
55;53.28;53.45
55;53.28;49.08
55;55.944;52.96
55;55.944;49.43
55;55.944;52.79
55;55.944;48.66
55;55.944;54.86
55;55.944;48.32
55;55.944;52.88
55;55.944;48.31
55;53.28;52.66
55;53.28;48.38
55;53.28;54.23
55;55.944;49.36
55;55.944;53.63
55;55.944;50.63
55;55.944;54.62
55;55.944;49.54
55;50.616;54.08
55;55.944;49.63
55;55.944;56.51
55;53.28;49.95
55;53.28;53.84
55;58.608000000000004;48.98
55;55.944;53.46
55;58.608000000000004;50.09
55;55.944;54.73
55;55.944;48.04
45;45.288000000000004;45.62
45;47.952000000000005;40.48
45;45.288000000000004;45.02
45;47.952000000000005;41.79
45;45.288000000000004;44.04
45;45.288000000000004;40.44
45;45.288000000000004;45.74
45;45.288000000000004;40.62
45;45.288000000000004;45.43
45;47.952000000000005;41.11
45;42.624;43.5
45;47.952000000000005;40.26
45;47.952000000000005;44.94
45;45.288000000000004;40.95
45;47.952000000000005;44.33
45;47.952000000000005;40.31
45;45.288000000000004;47.03
45;47.952000000000005;39.91
45;47.952000000000005;47.86
45;45.288000000000004;41.17
45;42.624;44.72
45;47.952000000000005;40.63
45;45.288000000000004;43.28
45;47.952000000000005;40.25
45;45.288000000000004;43.73
45;47.952000000000005;39.5
45;45.288000000000004;48.06
45;45.288000000000004;41.66
45;45.288000000000004;45.92
45;47.952000000000005;42.07
35;34.632000000000005;36.24
35;34.632000000000005;36.7
35;34.632000000000005;35.4
35;34.632000000000005;38.53
35;37.296;36.92
35;34.632000000000005;38.57
35;34.632000000000005;35.05
35;34.632000000000005;37.87
35;37.296;36.18
35;37.296;37.67
35;39.96;36.24
35;31.968000000000004;37.68
35;34.632000000000005;36.65
35;34.632000000000005;38.48
35;34.632000000000005;36.87
35;34.632000000000005;39.48
35;39.96;38.22
35;31.968000000000004;36.44
35;37.296;37.07
35;34.632000000000005;37.61
35;37.296;35.65
35;31.968000000000004;36.62
35;37.296;36.76
35;34.632000000000005;38.92
35;34.632000000000005;36.81
35;34.632000000000005;38.69
35;37.296;36.6
35;34.632000000000005;40.19
35;34.632000000000005;36.4
35;34.632000000000005;38.19
25;26.64;24.78
25;26.64;20.26
25;23.976000000000003;26.08
25;26.64;20.79
25;21.312;24.73
25;23.976000000000003;19.96
25;23.976000000000003;25.68
25;23.976000000000003;24.19
25;26.64;20.51
25;23.976000000000003;17.43
25;23.976000000000003;25.54
25;26.64;20.37
25;26.64;26.0
25;23.976000000000003;25.21
25;26.64;26.24
25;23.976000000000003;23.89
25;26.64;28.23
25;21.312;24.94
25;29.304000000000002;24.46
25;23.976000000000003;19.89
25;26.64;27.88
25;23.976000000000003;22.61
25;26.64;25.92
25;23.976000000000003;22.21
25;26.64;26.49
25;21.312;16.86
25;23.976000000000003;26.51
25;18.648;21.85
25;23.976000000000003;27.05
25;29.304000000000002;23.82
15;13.32;8.32
15;15.984000000000002;14.03
15;13.32;9.66
15;15.984000000000002;10.82
15;13.32;8.56
15;18.648;12.98
15;15.984000000000002;12.91
15;18.648;13.05
15;15.984000000000002;15.9
15;18.648;16.64
15;13.32;9.46
15;18.648;10.15
15;15.984000000000002;16.55
15;13.32;13.87
15;13.32;8.71
15;13.32;13.06
15;15.984000000000002;12.93
15;15.984000000000002;12.84
15;13.32;8.83
15;15.984000000000002;11.54
15;13.32;10.23
15;15.984000000000002;12.4
15;13.32;9.29
15;13.32;13.76
15;18.648;16.33
15;15.984000000000002;13.08
15;18.648;13.02
15;15.984000000000002;10.54
15;13.32;9.21
15;15.984000000000002;12.45
