Velocidad de entrada,Velocidad medida por el motor,Velocidad giroscopio
125,122.54400000000001,114.52
125,122.54400000000001,105.95
125,119.88000000000001,111.4
125,122.54400000000001,110.22
125,122.54400000000001,110.99
125,127.87200000000001,105.98
125,122.54400000000001,111.47
125,125.20800000000001,107.41
125,125.20800000000001,110.3
125,122.54400000000001,105.41
125,125.20800000000001,112.8
125,127.87200000000001,104.73
125,122.54400000000001,114.69
125,122.54400000000001,110.45
125,119.88000000000001,111.8
125,125.20800000000001,105.22
125,122.54400000000001,109.59
125,122.54400000000001,106.17
115,111.888,99.27
115,117.21600000000001,101.37
115,117.21600000000001,99.66
115,117.21600000000001,103.87
115,117.21600000000001,101.84
115,119.88000000000001,101.29
115,111.888,102.79
115,119.88000000000001,107.18
115,117.21600000000001,103.62
115,117.21600000000001,102.56
115,117.21600000000001,104.31
115,117.21600000000001,102.9
115,111.888,104.34
115,117.21600000000001,100.37
115,114.552,102.76
115,114.552,102.96
115,117.21600000000001,100.67
115,117.21600000000001,102.89
115,111.888,102.44
115,119.88000000000001,97.73
115,114.552,98.92
115,114.552,98.82
115,119.88000000000001,102.15
115,117.21600000000001,100.68
115,114.552,99.47
115,117.21600000000001,97.99
115,114.552,103.22
115,111.888,100.3
115,114.552,100.6
115,114.552,100.34
105,103.896,91.69
105,109.224,89.7
105,109.224,89.97
105,106.56,87.54
105,109.224,92.2
105,109.224,91.85
105,106.56,90.9
105,106.56,85.35
105,106.56,92.56
105,106.56,89.6
105,109.224,90.43
105,106.56,86.35
105,106.56,91.07
105,109.224,93.69
105,109.224,93.12
105,106.56,88.46
105,109.224,92.03
105,106.56,86.54
105,106.56,91.76
105,106.56,89.89
105,106.56,91.89
105,103.896,84.52
105,106.56,88.31
105,109.224,91.87
105,106.56,92.67
105,103.896,90.34
105,106.56,89.76
105,106.56,87.44
105,106.56,90.23
105,106.56,88.53
95,95.90400000000001,84.39
95,98.56800000000001,78.95
95,95.90400000000001,79.68
95,95.90400000000001,79.41
95,95.90400000000001,85.11
95,95.90400000000001,79.24
95,95.90400000000001,89.22
95,95.90400000000001,82.0
95,93.24000000000001,77.18
95,95.90400000000001,82.33
95,95.90400000000001,84.89
95,98.56800000000001,79.9
95,95.90400000000001,85.2
95,98.56800000000001,75.17
95,95.90400000000001,86.45
95,95.90400000000001,84.8
95,95.90400000000001,81.79
95,93.24000000000001,69.69
95,95.90400000000001,84.19
95,95.90400000000001,82.68
95,95.90400000000001,85.76
95,95.90400000000001,87.15
95,95.90400000000001,84.63
95,98.56800000000001,78.61
95,95.90400000000001,80.87
95,95.90400000000001,83.93
95,95.90400000000001,84.5
95,93.24000000000001,78.02
95,95.90400000000001,86.08
95,95.90400000000001,82.18
85,87.912,76.78
85,87.912,69.8
85,87.912,75.53
85,87.912,73.37
85,85.248,76.51
85,87.912,73.23
85,85.248,75.95
85,87.912,72.83
85,85.248,74.69
85,87.912,72.05
85,85.248,74.91
85,87.912,69.66
85,85.248,74.47
85,87.912,72.27
85,85.248,75.63
85,90.57600000000001,72.47
85,90.57600000000001,76.07
85,90.57600000000001,73.63
85,87.912,76.15
85,87.912,70.33
85,87.912,73.0
85,85.248,70.75
85,87.912,74.01
85,87.912,74.89
85,85.248,76.66
85,85.248,73.56
85,85.248,75.4
85,85.248,70.39
85,85.248,75.95
85,87.912,73.36
75,74.592,64.53
75,74.592,70.34
75,74.592,67.29
75,74.592,73.64
75,77.256,67.39
75,74.592,74.12
75,74.592,65.11
75,74.592,71.73
75,77.256,65.0
75,77.256,71.69
75,74.592,67.07
75,74.592,72.65
75,74.592,66.24
75,74.592,75.4
75,77.256,65.55
75,74.592,77.33
75,74.592,64.96
75,77.256,77.76
75,77.256,65.51
75,74.592,76.34
75,77.256,66.81
75,74.592,75.24
75,74.592,68.58
75,77.256,76.17
75,77.256,68.76
75,74.592,74.18
75,74.592,68.73
75,74.592,70.37
75,74.592,67.5
75,77.256,73.07
65,66.60000000000001,60.04
65,66.60000000000001,56.31
65,66.60000000000001,59.88
65,66.60000000000001,57.22
65,66.60000000000001,59.85
65,66.60000000000001,54.56
65,66.60000000000001,58.33
65,66.60000000000001,56.68
65,66.60000000000001,57.14
65,66.60000000000001,53.34
65,66.60000000000001,59.47
65,66.60000000000001,53.71
65,66.60000000000001,58.27
65,66.60000000000001,52.84
65,66.60000000000001,57.05
65,66.60000000000001,53.5
65,66.60000000000001,57.66
65,66.60000000000001,55.53
65,63.93600000000001,59.81
65,66.60000000000001,55.06
65,63.93600000000001,59.08
65,66.60000000000001,55.31
65,63.93600000000001,57.82
65,66.60000000000001,56.06
65,63.93600000000001,57.01
65,66.60000000000001,55.73
65,63.93600000000001,55.82
65,63.93600000000001,53.74
65,63.93600000000001,58.08
65,63.93600000000001,53.73
55,58.608000000000004,51.87
55,53.28,49.4
55,58.608000000000004,54.06
55,58.608000000000004,54.77
55,55.944,52.59
55,55.944,47.12
55,53.28,53.24
55,55.944,48.82
55,53.28,52.55
55,53.28,50.37
55,55.944,51.75
55,55.944,49.9
55,55.944,51.79
55,55.944,51.0
55,55.944,51.53
55,55.944,49.12
55,55.944,52.53
55,55.944,47.27
55,55.944,54.24
55,53.28,49.47
55,53.28,53.77
55,55.944,50.89
55,58.608000000000004,54.46
55,55.944,48.28
55,58.608000000000004,53.62
55,55.944,49.53
55,55.944,53.66
55,55.944,51.54
55,53.28,53.83
55,55.944,48.78
45,45.288000000000004,42.18
45,47.952000000000005,40.37
45,45.288000000000004,41.92
45,45.288000000000004,40.51
45,45.288000000000004,41.52
45,47.952000000000005,40.47
45,45.288000000000004,43.26
45,45.288000000000004,40.08
45,45.288000000000004,43.64
45,47.952000000000005,40.8
45,45.288000000000004,42.97
45,47.952000000000005,41.29
45,45.288000000000004,42.51
45,45.288000000000004,40.94
45,47.952000000000005,41.98
45,45.288000000000004,41.85
45,45.288000000000004,43.95
45,45.288000000000004,41.19
45,45.288000000000004,43.08
45,47.952000000000005,41.71
45,42.624,42.55
45,45.288000000000004,41.54
45,45.288000000000004,41.85
45,45.288000000000004,42.05
45,45.288000000000004,41.86
45,42.624,41.49
45,45.288000000000004,44.05
45,45.288000000000004,40.89
45,45.288000000000004,43.04
45,45.288000000000004,41.13
35,37.296,32.59
35,34.632000000000005,35.15
35,34.632000000000005,35.24
35,34.632000000000005,33.58
35,34.632000000000005,36.18
35,34.632000000000005,32.56
35,37.296,33.5
35,34.632000000000005,32.69
35,34.632000000000005,36.26
35,34.632000000000005,32.56
35,37.296,35.84
35,31.968000000000004,33.04
35,37.296,34.91
35,31.968000000000004,32.98
35,34.632000000000005,34.73
35,34.632000000000005,33.87
35,34.632000000000005,36.34
35,34.632000000000005,32.79
35,37.296,32.23
35,34.632000000000005,34.13
35,34.632000000000005,34.4
35,34.632000000000005,33.79
35,34.632000000000005,35.51
35,31.968000000000004,32.53
35,37.296,33.53
35,31.968000000000004,33.04
35,37.296,36.77
35,34.632000000000005,33.04
35,34.632000000000005,35.78
35,37.296,34.63
35,34.632000000000005,32.06
35,34.632000000000005,30.13
35,31.968000000000004,30.32
35,34.632000000000005,32.69
35,31.968000000000004,31.21
35,34.632000000000005,27.98
35,34.632000000000005,30.4
35,34.632000000000005,29.95
35,34.632000000000005,28.5
35,31.968000000000004,31.64
35,34.632000000000005,30.79
35,34.632000000000005,28.42
35,31.968000000000004,29.35
35,34.632000000000005,27.17
35,34.632000000000005,33.06
35,34.632000000000005,27.48
35,31.968000000000004,29.45
35,34.632000000000005,28.75
35,34.632000000000005,30.15
35,37.296,29.99
35,34.632000000000005,30.85
35,37.296,30.8
35,34.632000000000005,29.63
35,37.296,29.12
35,37.296,29.09
35,34.632000000000005,29.09
35,37.296,31.49
